Taxonomy,JA1,JA2,JA3,JAB1,JAB2,JAB3,JAF1,JAF2,JAF3,JAL1,JAL2,JAL3
Sphingobacterium,0.000490884,0.00056101,0,0,0.000631136,0.002524544,0.000420757,0.000631136,0.001192146,0.003085554,0.00315568,0.008906031
Confluentibacter,0.000140252,0.000280505,0.000841515,0.000140252,0.000911641,0.000420757,0.00259467,0.008625526,0.004768583,0.000631136,0.002384292,0.000911641
Arthrobacter,0.003786816,0.0042777,0.002734923,0.004768583,0.002454418,0.002384292,0.002664797,0.002384292,0.006171108,0.001683029,0.002103787,0.002524544
Iamia,0.000490884,0.001332398,0.000350631,0.004488079,0.00112202,0.000841515,0.001753156,0.002805049,0.005610098,0.001332398,0.000280505,0.000701262
Pseudoxanthomonas,0.002875175,0.001683029,0.001893408,0.001683029,0.005750351,0.004628331,0.002314165,0.001893408,0.000841515,0.005119215,0.002875175,0.001753156
Hydrogenophaga,0.000210379,7.01E-05,0.000420757,0.000280505,0.00056101,0.000771388,0.001051893,0.002454418,0.000771388,0.002103787,0.002524544,0.005259467
Ohtaekwangia,0.003366059,0.002524544,0.003786816,0.002173913,0.001823282,0.001612903,0.003576438,0.006381487,0.002875175,0.001192146,0.000771388,0.000771388
Galbitalea,0.000701262,0.00259467,0.00112202,0.000420757,0.000631136,0.001051893,0.000701262,0.000771388,0.000911641,0.00056101,0.001963534,0.001612903
unidentified_Chitinophagaceae,0.006030856,0.002244039,0.004488079,0.000631136,0.001683029,0.002244039,0.001753156,0.002875175,0.002173913,0.000981767,0.001893408,0.000911641
Bacillus,0.002875175,0.001683029,0.001683029,0.005750351,0.002524544,0.001963534,0.001612903,0.004488079,0.002384292,0.001262272,0.001262272,0.002314165
Stenotrophomonas,0.000280505,0.002033661,0.000140252,0,0.001472651,0.001192146,7.01E-05,0.000490884,0.000350631,0.004347826,0.001893408,0.003506311
Dongia,0.002384292,0.002384292,0.002664797,0.004207574,0.001683029,0.001612903,0.003295933,0.003436185,0.001963534,0.000981767,0.000210379,0.000631136
Noviherbaspirillum,0.000771388,0.001051893,0.000841515,0.000350631,0.001542777,0.001823282,0.000140252,0.000490884,0.000210379,0.001823282,0.001753156,0.001332398
Streptomyces,0.002664797,0.000701262,0.002384292,0.001051893,0.002875175,0.005259467,0.000631136,0.000631136,0.000911641,0.001753156,0.001192146,0.000140252
Polaromonas,0.001542777,0.002664797,0.002805049,0.00056101,0.001192146,0.001192146,0.003085554,0.001963534,0.002033661,0.001963534,0.001542777,0.004137447
Pirellula,0.002033661,0.002454418,0.003576438,0.004417952,0.001612903,0.00112202,0.003295933,0.001893408,0.001262272,0.001683029,0.000490884,7.01E-05
Achromobacter,7.01E-05,7.01E-05,7.01E-05,0.001262272,0.000350631,0.000981767,0.000140252,7.01E-05,0.000140252,0.001192146,0.001753156,0.0042777
Gemmatimonas,0.001963534,0.001823282,0.002244039,0.00056101,0.001893408,0.001051893,0.002103787,0.000841515,0.001332398,0.002945302,0.003856942,0.002103787
Micromonospora,7.01E-05,7.01E-05,0,7.01E-05,0.000210379,7.01E-05,7.01E-05,0,7.01E-05,0.002664797,0.000350631,0.004698457
Ferruginibacter,0.004488079,0.002103787,0.002524544,0.001402525,0.002244039,0.00259467,0.00259467,0.001472651,0.000490884,0.001612903,0.001192146,0.001402525
unidentified_Cyanobacteria,0.001262272,0.002734923,0.002384292,0.001823282,0.000771388,0.000490884,0.000631136,0.00056101,0.004207574,0.000771388,0.000841515,0.000911641
Marmoricola,0.003366059,0.002314165,0.002524544,0.00259467,0.00259467,0.001612903,0.000771388,0.001262272,0.003856942,0.001402525,0.002173913,0.000841515
Solirubrobacter,0.00056101,0.001963534,0.000841515,0.003927069,0.001332398,0.001472651,0.001262272,0.001051893,0.004067321,0.000911641,0.000210379,0.000631136
Solitalea,0.000701262,0.000350631,0.000420757,0.004067321,0.000210379,0.000280505,0.001542777,0.001262272,0.000140252,0.000140252,0.000140252,0.000140252
Phenylobacterium,0.002033661,0.001402525,0.001963534,0.001963534,0.002524544,0.002805049,0.002875175,0.003085554,0.00259467,0.002384292,0.002173913,0.003856942
Steroidobacter,0.000981767,0.002103787,0.000981767,0.002244039,0.002033661,0.001542777,0.002244039,0.002314165,0.001332398,0.000981767,0.000631136,0.000420757
Methylobacillus,0.000140252,0.000210379,0.000140252,0,7.01E-05,0,0.000140252,0.000140252,0.000490884,0.000490884,0.001192146,0.001262272
unidentified_Fibrobacteraceae,0.003576438,0.001612903,0.002664797,0.000140252,0.000350631,0.000420757,0.00112202,0.001051893,0.002524544,0.000350631,0.000350631,7.01E-05
Fluviicola,7.01E-05,0,0.000140252,0.000350631,0,7.01E-05,0.000210379,0.000280505,0.003436185,0,0.000140252,0
Qipengyuania,0.000771388,0.000420757,0.000631136,0.000140252,0.002945302,0.001683029,0.000280505,0.000771388,0.000420757,0.002734923,0.001963534,0.002103787
unidentified_Bacteria,0.000771388,0.001051893,0.000701262,0.000490884,0.001612903,0.001963534,0.000701262,0.000911641,0.002173913,0.00315568,0.00259467,0.001823282
Chthoniobacter,0.000280505,0.000350631,0.00056101,0.000631136,0.000210379,0.000140252,0.000350631,7.01E-05,0,0.000210379,0.000210379,0.000350631
Aquimonas,0.000140252,0,7.01E-05,7.01E-05,0.000140252,0,0.000701262,0.002244039,0.003085554,0,0,0
unidentified_Burkholderiaceae,0.001542777,0.000911641,0.001683029,0.002033661,0.00056101,0.000701262,0.001051893,0.000911641,0.001332398,0.000771388,0.000140252,0.000420757
Flavitalea,0.002734923,0.000911641,0.002314165,0.000210379,0.000631136,0.00056101,0.00056101,0.00056101,0.000631136,0.000350631,0.000981767,0.000631136
unidentified_Nitrosomonadaceae,0.001332398,0.001051893,0.001332398,0.002664797,0.00056101,0.00056101,0.002805049,0.001542777,0.001051893,0.000771388,0.000140252,0.000140252
Agromyces,0.001542777,0.001262272,0.001472651,0.002454418,0.001262272,0.000981767,0.000841515,0.001262272,0.001332398,0.001963534,0.001542777,0.000841515
Mucilaginibacter,0.000701262,0.000631136,0.000631136,0.000140252,0.000280505,0.000210379,0.000701262,0.00112202,0.000490884,0.000701262,0.000841515,0.002314165
unidentified_Syntrophaceae,0.000701262,0.000420757,0.000420757,0.002524544,0.000210379,0.000490884,0.001262272,0.000981767,0.000140252,0.00056101,0.000140252,0.000350631
Membranicola,0,0,0,0,0,0,7.01E-05,0.000490884,0.000420757,0,0,0
Ilumatobacter,0.001332398,0.001051893,0.00112202,0.002314165,0.000420757,0.000490884,0.000841515,0.00112202,0.001402525,0.000631136,0.000350631,0.000280505
Arsenicitalea,7.01E-05,7.01E-05,0,0,7.01E-05,0,0.000210379,0.000911641,0.000701262,0,7.01E-05,7.01E-05
Mesorhizobium,0.001051893,0.00056101,0.001402525,0.001612903,0.000841515,0.000771388,0.000701262,0.001472651,0.001051893,0.000701262,0.000490884,0.000420757
unidentified_Actinomarinales,0.000841515,0.000420757,0.00056101,0.001402525,0.000210379,0.000280505,0.000420757,0.000280505,0.00056101,0.000490884,0.000140252,0.000210379
Klebsiella,7.01E-05,0,0,7.01E-05,0,0,0,0,0,0,0,0
Methylocystis,0,0,0,0,7.01E-05,0,0,0,0,0,0,7.01E-05
Exiguobacterium,7.01E-05,0,0,0,0,0,0,0,0,0.000490884,0.002103787,0.001051893
Cereibacter,7.01E-05,0.000140252,0,0.000210379,0.000280505,0.000350631,0,0,0.000140252,0.000420757,0.001542777,0.002103787
Pelagicoccus,0,0,0,0,0,0,0.000420757,0.002033661,0.000771388,0,0,0
Limnobacter,0.000701262,0.000280505,7.01E-05,0.000210379,0.000981767,0.00056101,0.000140252,0.00056101,0.000350631,0.000420757,0.000280505,0.000280505
Lacunisphaera,0.000350631,0.000140252,0.001262272,0.000631136,0.000140252,7.01E-05,0.000490884,0.001472651,0.001753156,0.000210379,0.000140252,0
Lysinimonas,0.000210379,0.000140252,0.000280505,7.01E-05,0.000140252,0.000140252,0.00056101,0.000420757,0.000420757,0.000280505,0.000911641,0.000631136
Candidatus_Entotheonella,0.000210379,0.000350631,0.000350631,0.000631136,0.000631136,0.000350631,0.000280505,0.000140252,0.000210379,0.000280505,0.000140252,0
Xenophilus,0.000280505,0.000420757,0.000280505,0.000210379,0.000490884,0.000701262,7.01E-05,0.000350631,0.000140252,0.000841515,0.001893408,0.001612903
Herminiimonas,0.000140252,0.000140252,0.000210379,0,0.000350631,0.000210379,0,7.01E-05,7.01E-05,0.000420757,0.000701262,0.001823282
Lautropia,0.000420757,0.000420757,7.01E-05,7.01E-05,0.001823282,0.001192146,0.000280505,0.000841515,0.000350631,0.000631136,0.000140252,0.000420757
Caulobacter,0.000420757,0.000280505,0.000280505,0.000210379,0.000701262,0.000631136,0.000210379,0.000981767,0.000981767,0.000701262,0.001402525,0.001823282
unidentified_Verrucomicrobiae,0,0,7.01E-05,7.01E-05,0,0,0,0,0,0,0,0
unidentified_Dehalococcoidia,0.000420757,7.01E-05,0.000701262,0.000631136,0.000140252,0.000140252,0.000911641,0.000350631,0.000140252,0.000210379,7.01E-05,0.000350631
Parafilimonas,0.000350631,0.000420757,0.000631136,0.001753156,0.000420757,0.000280505,0.000771388,0.000140252,0.000701262,0.000280505,0,7.01E-05
Pseudoduganella,0.001332398,0.001472651,0.000841515,0.000350631,0.000841515,0.000981767,0.000350631,0.000210379,0.000140252,0.000701262,7.01E-05,0.000140252
Dyadobacter,0.000280505,0.000420757,0.000140252,0,0.000280505,0.000210379,0.000420757,0.000140252,0,0.000631136,0.00056101,0.000981767
Pedomicrobium,0.000701262,0.000631136,0.000841515,0.001051893,0.000280505,0.000140252,0.000911641,0.000841515,0.000350631,0.000280505,0.000210379,7.01E-05
Pseudomonas,0.000490884,0.000911641,0.000350631,0.000701262,0.000701262,0.000420757,0.000280505,0.000210379,0.000140252,0.000701262,0.000210379,0.000140252
Microvirga,0.000911641,0.000701262,0.000490884,0.00112202,0.001192146,0.001192146,0.000490884,0.000490884,0.000701262,0.001262272,0.001192146,0.000841515
Aminobacter,0,0,0,0.000210379,7.01E-05,0.000140252,7.01E-05,0.000420757,0.000280505,0.000490884,0.000420757,0.000841515
unidentified_Chloroflexi,0.000771388,0.000350631,0.000490884,0.001612903,0.000490884,0.000350631,0.000981767,0.000490884,0.000490884,0.000420757,0,0.000210379
Microlunatus,0.000490884,0.000911641,0.000771388,0.000701262,0.000490884,0.000490884,0.000350631,0.000350631,0.000490884,0.000140252,0.000210379,0.000210379
Bosea,0.000140252,0.000140252,0.000140252,0.000350631,0.000140252,0.000350631,7.01E-05,0.000210379,7.01E-05,0.00056101,0.001262272,0.001612903
Delftia,0.000280505,0.000280505,0.000771388,0,0.000140252,0.000280505,0.000420757,0.000210379,0.000210379,7.01E-05,0.000701262,0.001612903
Skermanella,0.001332398,0.000841515,0.000490884,0.00056101,0.001192146,0.000911641,0.000210379,0.000210379,0.000350631,0.000771388,0.00056101,7.01E-05
Reyranella,0.000210379,0.000140252,0.000280505,0.001051893,0.000280505,0.000210379,0.000280505,0.000420757,0.000911641,7.01E-05,0.000210379,7.01E-05
Hymenobacter,0.000140252,0.000140252,0.000140252,0,7.01E-05,0.000140252,0,7.01E-05,0,0,7.01E-05,0.000280505
Muricauda,0,0,0,0,0,7.01E-05,0,0,0,0,0,0
Vitellibacter,0,0,0,0,0.000911641,0.000350631,0.000210379,0.001402525,0.001472651,0,0,0
Flavihumibacter,0.000280505,0.000140252,0.000350631,0.000420757,0.000210379,0.000350631,0.000210379,0.000350631,0.000140252,0.000210379,0.000210379,7.01E-05
Blastopirellula,0.000210379,0.000140252,0.000280505,0.000140252,0.000140252,7.01E-05,0.000280505,0.000210379,0.000350631,7.01E-05,7.01E-05,0.000140252
Candidatus_Solibacter,0.000631136,0.000490884,0.00056101,0.000701262,0.000210379,0.000280505,0.000771388,0.00056101,0.000420757,0.000280505,0,0
Hyphomicrobium,0.000280505,0.000631136,0.000140252,0.00056101,0.000210379,0.000280505,0.000210379,0.000420757,0.000280505,0.000350631,0.000210379,7.01E-05
Parasegetibacter,0,7.01E-05,0,7.01E-05,0.000420757,0.000490884,7.01E-05,0.000420757,0.000210379,0.000280505,0.000210379,0.000140252
Nonomuraea,0,0,0,0.000140252,0,7.01E-05,7.01E-05,0,0,0,0,0
Blastococcus,0.000280505,0.001332398,0.000350631,0.00056101,0.001262272,0.000350631,0.000420757,0.000701262,0.000771388,0.000911641,0.000350631,0.000420757
Desulfuromonas,0,0,7.01E-05,7.01E-05,0,0,0.000210379,0.000210379,0,0,0,7.01E-05
Polycyclovorans,0,0.000140252,0.000210379,0.000841515,0.000140252,0,0.000140252,0.000350631,0,0,0,0
Variovorax,0.000631136,0.000631136,0.000420757,0.001332398,0.000420757,0.000771388,0.000420757,0.00056101,0.000490884,0.001051893,0.000350631,0.000771388
Gemmata,0.000210379,0.000140252,0.000631136,0.000981767,0.000210379,0.000140252,0.000420757,7.01E-05,0.000280505,0.000210379,7.01E-05,0
Rubrivirga,0,0,0,0,0,0,0.000140252,0.001192146,0.001262272,0,0,0
Aquicella,0.000140252,0.000210379,0.000280505,0.000490884,0.000140252,7.01E-05,0.000420757,0.000631136,7.01E-05,7.01E-05,0,7.01E-05
Sphingopyxis,7.01E-05,7.01E-05,0,0,0.000210379,0.000280505,0.000140252,0.000350631,0,0.000210379,0.001262272,0.000701262
unidentified_Anaerolineae,7.01E-05,0,0.000140252,0,0.000140252,7.01E-05,7.01E-05,0.000350631,0.001192146,7.01E-05,0,7.01E-05
Olivibacter,0.000140252,0.000140252,7.01E-05,0,0.000140252,0.000140252,0,0,0,7.01E-05,0.000140252,0.000420757
unidentified_Puniceicoccaceae,0,0.000140252,0,0,0,0,7.01E-05,0.001192146,0.000981767,0,0,0
Sandaracinus,0.000631136,0.000210379,0.000771388,0.00056101,0.000140252,7.01E-05,0.00056101,0.000420757,0.000631136,0.000210379,7.01E-05,0.000140252
Pigmentiphaga,0,7.01E-05,0,0,0.000210379,0.000140252,0,7.01E-05,7.01E-05,0.000771388,0.000350631,0.001192146
unidentified_Alphaproteobacteria,0.000841515,0.000420757,0.00056101,0.000841515,0.000701262,0.000420757,0.000771388,0.000701262,0.00056101,0.00056101,0.000420757,0.000210379
Nitrosospira,0.000280505,0.000140252,0.000280505,0.000280505,0.000140252,7.01E-05,0.000140252,7.01E-05,0.001192146,0.000140252,0,7.01E-05
Candidatus_Paracaedibacter,0,0.000280505,0.000140252,0,0,0.000210379,0,0.000140252,0.000490884,0,0,0.000210379
Candidatus_Cardinium,0,0,0,0,0,0,0,0,0,0,0,0
Aliihoeflea,0.000350631,0,0,0,0.000350631,0.000140252,0,0.000140252,0,0.000631136,0.00112202,0.000771388
Pajaroellobacter,0,0.000490884,0.000631136,0.00056101,0.000420757,0.000631136,0.000490884,0.000841515,0.00056101,0.000490884,7.01E-05,0.000350631
Jeongeupia,7.01E-05,7.01E-05,7.01E-05,0.000631136,0,7.01E-05,0.000350631,0,7.01E-05,0,0,0
Sphingobium,0,7.01E-05,7.01E-05,7.01E-05,7.01E-05,0.000140252,0.000210379,0.000140252,7.01E-05,0.000140252,0.000140252,0.00056101
Flaviaesturariibacter,0.00056101,0.000280505,7.01E-05,0,0.000981767,0.001051893,0.000210379,0.000210379,0.000280505,0.000701262,0.00056101,0.000420757
Bradyrhizobium,0.000701262,0.000631136,0.000631136,0.000490884,0.000631136,0.000210379,0.000420757,0.00056101,0.000350631,0.000350631,0.000280505,0.000210379
Mycobacterium,0.000210379,0.000280505,0.000140252,0.00056101,0.000140252,0.000210379,0.000210379,0.000420757,0.000701262,0.000140252,0.000210379,0.000210379
Pseudolabrys,0.000490884,0.00056101,0.000280505,0.000420757,0.000420757,0.000420757,0.00056101,0.000771388,0.000420757,0.000280505,0.000490884,0.000140252
Luteitalea,0.000911641,0.000420757,0.000631136,0.000701262,0.000841515,0.000631136,0.000420757,0.000631136,0.000631136,0.000490884,0.00056101,0.000350631
Ornithinicoccus,0,0,0,0,0,7.01E-05,7.01E-05,0.000350631,0.000350631,0,0,0
Niastella,0.000280505,0.000140252,0.000350631,7.01E-05,7.01E-05,0,0.000350631,0.000210379,0.000420757,0,0,0
Novosphingobium,0.00056101,0.000210379,0.000210379,0.000350631,0.000701262,0.000981767,0.000280505,0.000420757,0.000280505,0.000631136,0.00056101,0.000210379
unidentified_Elusimicrobia,0.000490884,0.000140252,0.000490884,0.000771388,0,0,0.000701262,0.000140252,0.000140252,0.000210379,0,0
Dinghuibacter,0.000140252,0.000140252,0.000490884,7.01E-05,0,0,0,0,7.01E-05,7.01E-05,0,0
Nibribacter,7.01E-05,7.01E-05,7.01E-05,0,0.000350631,0.000140252,0,0,7.01E-05,0.00056101,0.000981767,0.000350631
Cohnella,0,7.01E-05,0,0,0.000210379,0.000140252,7.01E-05,0.000280505,7.01E-05,0.000210379,0.000210379,0.000911641
Ralstonia,0.000420757,0.00056101,0.000420757,0.000631136,0.000490884,0.000350631,0.00056101,0.000490884,0.000771388,0.000631136,0.000420757,0.000631136
Luteolibacter,0.000280505,0.000140252,0.000280505,0.000350631,0.000140252,0.000210379,0.000140252,0.000140252,0,0.000210379,0.000631136,0.000210379
Oligoflexus,0.000631136,0.000490884,0.000350631,7.01E-05,0.000911641,0.000771388,7.01E-05,0,7.01E-05,0.00056101,0.000771388,0.000350631
unidentified_Gemmatimonadaceae,0.000490884,0.000280505,0.000210379,0.000490884,7.01E-05,0.000140252,0.000350631,0.000210379,0.000350631,0.000210379,0.000140252,0
Sorangium,0.000140252,0.000350631,0.000631136,0.000210379,0.000140252,0.000210379,0.000631136,0.000631136,0.000631136,0.000140252,0,0
Segetibacter,0.000140252,0,0,0,7.01E-05,0.000210379,0,0,7.01E-05,0.000210379,0.000140252,0.000911641
Methylophilus,0.000140252,7.01E-05,0,7.01E-05,0.000140252,0,0,7.01E-05,7.01E-05,7.01E-05,0.000210379,0.000350631
Rhodopirellula,0.000140252,0.000350631,0.000280505,0.000350631,0.000280505,0.000280505,7.01E-05,0,0.000490884,0.000210379,0.000140252,0
Intrasporangium,0.000350631,0.000280505,0.000420757,0.000420757,0.000280505,0.000350631,0.00056101,0.000490884,0.000841515,0.000631136,0.000280505,0.000420757
Paenibacillus,0.000350631,0.000210379,0.000210379,0.000631136,0.000210379,0.000140252,0.000490884,0.000701262,0.000210379,0.000140252,0.000140252,0.00056101
Staphylococcus,0,0,0.000841515,0,0,0,0,0,7.01E-05,0,0.000140252,0
Phaselicystis,0.000140252,0.000631136,0.000771388,0.00056101,7.01E-05,0.000140252,0.000701262,0.000701262,0.000631136,0.000350631,0.000140252,7.01E-05
Ornithinimicrobium,0,7.01E-05,0.000140252,0,0,0,7.01E-05,0.000420757,0.000140252,7.01E-05,0,0
Crocinitomix,0,0,0.000140252,0,0,0,0,0,0.000841515,0,0,0
Truepera,0,0,0,0,7.01E-05,0,0.000140252,0.000841515,0.000490884,0,0,0
Woeseia,0.000490884,0.000140252,0.000420757,0.000210379,0.000350631,0.000280505,0.00056101,0.000771388,0.000420757,0.000420757,0.000210379,0
Actinocorallia,0.000350631,0,0.000771388,0,7.01E-05,0,0.000140252,0,0,0,0,0
